Employee_ID,Department,Tenure_Years,Age,Gender,Salary,Performance_Score,Attrition,Last_Promotion_Years,Overtime_Hours_Monthly
EMP0062,Engineering,5.5,38,Male,78646.41,5,No,0,9.1
EMP0063,Sales,9.1,27,Female,82498.42,3,Yes,2,22.7
EMP0064,Marketing,14.0,54,Female,50196.5,5,No,0,0.9
EMP0065,Sales,14.8,43,Male,136629.18,3,No,2,15.0
EMP0066,Sales,8.1,31,Female,104373.66,5,No,2,18.3
EMP0067,Engineering,6.8,25,Female,82734.36,3,No,0,19.1
EMP0068,Marketing,1.8,24,Male,46988.29,4,No,1,10.4
EMP0069,Operations,8.3,38,Female,89165.15,3,No,6,17.5
EMP0070,Engineering,10.6,55,Female,99680.64,4,No,5,2.7
EMP0071,Sales,1.5,45,Male,127372.63,3,No,1,10.9
EMP0072,Engineering,12.0,41,Female,118588.61,3,No,4,16.8
EMP0073,HR,7.4,44,Male,73414.03,5,No,7,12.7
EMP0074,Engineering,2.8,48,Male,95498.97,5,No,3,17.9
EMP0075,Engineering,3.0,43,Male,75901.8,2,Yes,3,23.4
EMP0076,Engineering,5.5,47,Male,68488.67,3,No,6,13.8
EMP0077,Sales,1.3,38,Female,96169.34,3,No,1,18.4
EMP0078,Operations,3.2,49,Male,58953.82,4,No,3,9.7
EMP0079,Sales,11.2,24,Male,111590.09,3,Yes,6,25.0
EMP0080,Sales,6.8,49,Female,80554.63,3,No,6,4.8
EMP0081,Engineering,3.3,34,Female,91192.24,3,No,0,2.4
EMP0082,Marketing,1.4,40,Female,69880.41,3,No,0,11.7
EMP0083,Engineering,13.5,27,Male,112199.16,5,No,0,4.9
EMP0084,Engineering,2.9,30,Male,80240.36,5,No,2,3.5
EMP0085,Sales,6.2,41,Female,90257.49,4,No,2,2.2
EMP0086,Operations,2.6,32,Female,61348.43,5,No,1,18.6
EMP0087,Engineering,11.6,41,Male,101330.87,5,No,3,6.5
EMP0088,Engineering,4.4,24,Male,93895.84,3,No,4,3.1
EMP0089,Engineering,2.1,23,Female,76435.25,1,Yes,0,39.8
EMP0090,Engineering,11.9,35,Male,125848.17,2,Yes,7,37.0
EMP0091,HR,3.2,50,Female,60933.78,4,No,2,18.5
EMP0092,Marketing,2.5,25,Male,62685.91,4,No,3,13.3
EMP0093,Sales,10.3,54,Male,91348.84,5,No,6,14.3
EMP0094,Sales,5.8,27,Female,106538.55,5,No,2,18.1
EMP0095,Sales,5.1,54,Female,95617.99,1,Yes,5,35.9
EMP0096,Operations,4.7,25,Female,62689.07,4,No,1,14.9
EMP0097,Marketing,13.2,57,Male,76057.31,5,No,7,16.4
EMP0098,Sales,7.3,52,Male,163488.84,5,No,2,15.4
EMP0099,Sales,10.8,31,Female,103644.81,4,No,5,16.5
EMP0100,Engineering,9.3,46,Male,64808.11,4,No,6,2.8
EMP0101,Marketing,8.9,29,Male,60924.05,1,Yes,1,38.4
EMP0102,Marketing,1.3,44,Male,60551.93,3,Yes,1,36.8
EMP0103,Engineering,2.6,36,Male,87247.96,3,No,3,16.7
EMP0104,Engineering,0.2,47,Male,106064.95,3,No,0,8.0
EMP0105,Engineering,5.3,45,Male,81257.99,5,No,5,9.0
EMP0106,Engineering,3.4,41,Male,79225.45,3,No,0,10.3
EMP0107,Sales,12.9,22,Female,118117.75,5,No,4,3.7
EMP0108,Engineering,5.3,51,Female,110245.57,3,No,5,12.5
EMP0109,Sales,4.5,49,Male,93407.65,4,No,1,10.6
EMP0110,Sales,5.1,31,Male,92869.36,2,Yes,5,35.1
EMP0111,Sales,12.0,50,Female,104765.93,5,No,0,16.8
EMP0112,Sales,7.6,24,Male,84589.56,3,No,0,6.8
EMP0113,Sales,10.8,37,Female,87519.41,4,No,3,19.8
EMP0114,Marketing,13.5,42,Male,60141.5,3,Yes,7,21.7
EMP0115,Engineering,8.8,26,Female,75939.66,5,No,2,17.9
EMP0116,Engineering,4.1,30,Female,109736.5,4,No,4,8.2
EMP0117,Engineering,14.2,51,Female,63703.39,4,No,2,2.8
EMP0118,Operations,0.4,46,Male,64964.27,1,Yes,0,30.8
EMP0119,Engineering,12.5,55,Male,110190.66,3,No,4,10.5
EMP0120,Engineering,8.4,43,Male,65556.11,5,No,2,16.6
EMP0121,Operations,13.1,28,Female,78277.95,3,No,4,12.0
EMP0122,Operations,6.4,57,Male,91058.46,3,No,1,19.2
EMP0123,Engineering,12.6,56,Female,82567.39,5,No,1,18.3
EMP0124,Engineering,8.1,55,Male,63678.2,3,No,1,16.8
EMP0125,Sales,5.2,46,Male,97522.12,3,No,2,8.3
EMP0126,Operations,4.2,38,Female,79486.12,5,No,0,7.2
EMP0127,Sales,2.9,42,Male,119451.09,5,No,3,17.5
EMP0128,Marketing,13.6,47,Male,70596.13,3,No,7,13.9
EMP0129,Marketing,13.9,28,Female,70170.23,2,Yes,6,31.4
EMP0130,Marketing,14.6,56,Female,76699.6,4,No,2,9.5
EMP0131,Operations,0.7,55,Male,66800.91,3,No,1,4.6
EMP0132,Sales,8.6,46,Male,58399.65,4,No,1,10.8
EMP0133,Sales,6.5,55,Female,74317.18,5,No,2,8.4
EMP0134,Operations,12.0,50,Female,80700.99,4,No,4,7.0
EMP0135,Sales,8.8,46,Male,100940.34,2,Yes,6,28.0
EMP0136,Sales,12.8,36,Male,62773.02,3,No,6,11.8
EMP0137,Engineering,10.2,27,Male,85503.92,3,No,7,19.0
EMP0138,Operations,14.8,31,Male,82473.14,3,No,1,1.3
EMP0139,Engineering,0.6,26,Female,93114.19,3,No,1,16.5
EMP0140,Engineering,7.9,38,Female,127525.47,4,No,2,10.3
EMP0141,Operations,3.4,25,Female,77044.31,3,No,3,10.7
EMP0142,Engineering,2.0,30,Male,84561.97,4,No,2,19.1
EMP0143,Operations,11.1,29,Male,78757.01,4,No,4,5.1
EMP0144,Engineering,1.7,53,Female,98266.02,4,No,2,19.8
EMP0145,Operations,8.6,54,Female,70583.16,3,No,7,10.9
EMP0146,Marketing,13.0,57,Male,83994.95,3,No,2,16.7
EMP0147,Marketing,2.5,52,Male,76325.27,5,No,1,17.4
EMP0148,Engineering,2.5,33,Male,108097.63,3,No,1,16.6
EMP0149,Engineering,9.3,55,Female,77745.96,5,No,7,12.6
EMP0150,Sales,11.4,49,Female,93844.44,5,No,6,19.3
EMP0151,Operations,1.6,25,Male,73287.25,4,No,2,13.8
EMP0152,Marketing,5.3,35,Female,71994.55,4,No,5,0.9
EMP0153,HR,11.3,50,Male,59498.19,3,Yes,0,35.2
EMP0154,Engineering,10.3,25,Male,113482.86,3,No,2,5.5
EMP0155,Sales,2.5,35,Female,98684.99,4,No,3,13.9
EMP0156,Engineering,4.9,46,Female,62298.41,5,No,3,14.9
EMP0157,Sales,7.1,38,Male,88666.61,3,No,4,3.2
EMP0158,Engineering,0.4,24,Female,114397.79,4,No,0,5.9
EMP0159,Sales,0.1,43,Female,50374.1,1,Yes,0,32.1
EMP0160,Engineering,6.9,52,Female,80480.92,2,Yes,7,21.4
EMP0161,Marketing,11.4,43,Male,84936.28,5,No,7,18.2
EMP0162,Engineering,0.4,31,Female,92441.43,3,No,0,4.2
EMP0163,Operations,1.2,54,Male,56323.08,4,No,1,17.7
EMP0164,Engineering,12.3,24,Male,99481.74,3,Yes,5,33.4
EMP0165,Sales,9.3,49,Female,80424.67,4,No,3,6.0
EMP0166,Engineering,12.3,35,Male,91718.0,3,No,1,12.9
EMP0167,Engineering,3.8,40,Male,104252.18,4,No,4,17.4
EMP0168,Engineering,9.9,40,Female,97842.53,4,No,4,11.1
EMP0169,HR,14.6,50,Female,61394.5,5,No,6,4.0
EMP0170,Engineering,14.4,25,Female,84950.66,3,No,3,16.9
EMP0171,Marketing,7.6,57,Female,75276.32,3,No,4,10.3
EMP0172,Engineering,11.9,33,Male,112645.89,4,No,4,19.8
EMP0173,Sales,12.6,44,Female,132810.07,2,Yes,3,35.5
EMP0174,Engineering,1.1,35,Female,50852.37,3,No,1,1.9
EMP0175,Engineering,8.9,49,Female,95678.53,3,No,2,7.8
EMP0176,Marketing,2.1,31,Male,86615.81,5,No,2,9.1
EMP0177,Engineering,7.8,26,Female,79378.82,3,No,7,16.6
EMP0178,Sales,2.6,33,Male,83232.25,1,Yes,0,34.7
EMP0179,Operations,12.1,41,Female,77809.97,5,No,5,17.4
EMP0180,Engineering,0.7,26,Male,100914.44,1,Yes,0,29.0
EMP0181,Sales,10.4,55,Male,101038.92,5,No,1,9.6
EMP0182,HR,7.9,37,Female,46833.03,5,No,1,10.6
EMP0183,Marketing,2.5,53,Female,77551.44,1,Yes,3,34.6
EMP0184,HR,14.7,38,Female,82077.89,4,No,7,0.4
EMP0185,Operations,11.6,22,Male,51715.41,1,Yes,6,35.9
EMP0186,Marketing,1.7,30,Male,94501.47,4,No,0,20.0
EMP0187,HR,11.3,25,Female,52804.82,3,Yes,4,25.8
EMP0188,Marketing,13.5,32,Male,68327.17,3,No,7,6.3
EMP0189,Engineering,9.8,28,Male,101517.21,4,No,4,12.6
EMP0190,Engineering,8.2,56,Female,123182.87,5,No,5,0.3
EMP0191,Sales,11.4,27,Female,122239.75,4,No,4,10.8
EMP0192,Operations,7.2,42,Male,45539.9,4,No,2,11.0
EMP0193,Engineering,9.7,36,Female,92564.56,5,No,4,4.9
EMP0194,Sales,9.3,49,Male,90663.7,3,No,7,13.4
EMP0195,Engineering,9.2,46,Female,83590.13,4,No,2,5.5
EMP0196,Engineering,2.9,57,Female,94939.74,3,No,3,15.9
EMP0197,Engineering,12.3,34,Male,95922.39,5,No,5,10.5
EMP0198,Operations,3.3,29,Female,65740.87,3,No,3,8.2
EMP0199,Sales,3.9,31,Male,108023.84,3,Yes,1,34.6
EMP0200,Marketing,2.4,42,Male,66328.0,3,No,2,17.4
EMP0201,Engineering,9.7,30,Female,73087.43,4,No,4,10.9
EMP0202,Sales,2.1,32,Male,106287.67,4,No,2,8.1
EMP0203,Engineering,1.7,57,Female,89968.74,5,No,2,11.6
EMP0204,Operations,3.5,23,Female,61274.79,3,No,3,1.4
EMP0205,Engineering,9.6,24,Female,74778.65,5,No,5,11.9
EMP0206,Engineering,14.9,57,Male,67506.19,4,No,4,6.7
EMP0207,Sales,11.3,37,Female,73407.13,2,Yes,0,28.2
EMP0208,Engineering,5.8,26,Female,89699.72,2,Yes,6,39.5
EMP0209,Marketing,3.7,39,Female,75754.18,4,No,4,1.9
EMP0210,Operations,2.5,23,Male,72331.41,3,Yes,2,22.4
EMP0211,Engineering,3.7,44,Female,126986.01,4,No,3,16.5
EMP0212,Operations,8.7,39,Male,76735.16,5,No,2,7.8
EMP0213,Marketing,8.0,35,Male,62042.39,5,No,6,2.8
EMP0214,Sales,5.3,23,Male,110730.2,3,No,4,12.8
EMP0215,Operations,13.8,24,Male,56522.98,4,No,0,12.1
EMP0216,Operations,7.2,33,Female,58006.92,3,No,7,4.7
EMP0217,Sales,4.7,27,Female,107030.96,5,No,4,8.8
EMP0218,Engineering,5.9,23,Female,65153.51,3,No,2,3.8
EMP0219,Marketing,9.3,56,Male,88846.55,3,No,0,8.6
EMP0220,Marketing,10.4,50,Female,58453.47,3,No,3,12.7
EMP0221,Sales,6.4,56,Male,88790.9,2,Yes,2,37.7
EMP0222,Sales,11.6,42,Female,110829.25,3,Yes,5,28.3
EMP0223,Engineering,11.4,34,Male,101387.33,3,No,1,10.7
EMP0224,Engineering,1.7,47,Female,89770.35,5,No,2,9.1
EMP0225,Operations,3.7,50,Female,78689.37,3,No,1,16.2
EMP0226,Marketing,10.4,42,Female,59963.91,4,No,2,5.1
EMP0227,Sales,5.9,44,Female,120798.09,3,No,4,4.5
EMP0228,Engineering,10.2,22,Male,91329.7,3,Yes,2,21.7
EMP0229,Engineering,0.3,52,Female,115831.93,4,No,0,14.8
EMP0230,Engineering,2.9,53,Female,100203.98,4,No,3,2.0
EMP0231,Sales,1.3,30,Female,123156.3,1,Yes,1,38.0
EMP0232,Engineering,11.6,31,Male,94217.69,4,No,3,10.6
EMP0233,Engineering,14.7,37,Female,76115.69,5,No,7,11.6
EMP0234,Marketing,13.9,35,Female,64525.71,5,No,1,7.4
EMP0235,Sales,14.2,42,Male,83215.81,3,Yes,1,22.4
EMP0236,Operations,11.4,28,Male,67493.17,4,No,3,16.8
EMP0237,Engineering,4.9,34,Female,94238.7,3,No,1,5.4
EMP0238,Engineering,3.3,43,Male,102190.34,3,No,3,16.8
EMP0239,Sales,7.7,51,Male,111558.21,1,Yes,3,31.3
EMP0240,Sales,7.0,24,Male,87552.44,1,Yes,3,24.9
EMP0241,Engineering,6.1,42,Female,97171.35,4,No,5,4.1
EMP0242,Sales,11.8,33,Male,89707.17,4,No,5,0.1
EMP0243,Engineering,14.4,52,Male,73346.65,5,No,5,6.5
EMP0244,Operations,13.3,42,Female,95904.46,3,No,5,7.8
EMP0245,Engineering,2.8,25,Male,84005.46,5,No,3,8.0
EMP0246,Marketing,10.6,39,Male,66703.9,2,Yes,6,29.7
EMP0247,Engineering,4.9,33,Female,85247.67,3,No,1,3.0
EMP0248,Marketing,6.7,54,Female,71326.1,3,Yes,6,26.6
EMP0249,Engineering,9.0,54,Male,112162.95,4,No,5,20.0
EMP0250,Sales,6.2,47,Female,93007.76,3,No,4,7.7
EMP0251,Engineering,5.5,51,Female,93924.94,3,No,5,0.5
EMP0252,Engineering,14.1,26,Male,61560.53,5,No,7,8.6
EMP0253,Engineering,12.1,47,Female,92554.48,4,No,5,9.7
EMP0254,Marketing,11.0,52,Female,26930.76,3,No,7,3.2
EMP0255,Sales,0.3,49,Male,96781.9,2,Yes,0,20.9
EMP0256,Engineering,12.7,41,Female,73961.24,5,No,1,3.1
EMP0257,Sales,5.3,36,Female,61269.63,2,Yes,5,35.4
EMP0258,Marketing,14.1,42,Female,71004.86,2,Yes,4,28.4
EMP0259,Marketing,3.1,42,Female,77739.09,3,No,3,9.3
EMP0260,Engineering,12.8,55,Female,78981.13,3,No,1,10.5
EMP0261,Sales,11.9,27,Female,83794.95,4,No,0,12.3
EMP0262,Sales,3.3,43,Female,108085.14,3,Yes,3,37.2
EMP0263,Marketing,1.8,53,Male,56739.77,3,Yes,2,39.6
EMP0264,Engineering,7.8,49,Female,107429.01,4,No,2,17.6
EMP0265,Operations,8.4,46,Female,58474.53,4,No,5,11.2
EMP0266,Engineering,12.0,40,Male,78578.07,5,No,2,9.0
EMP0267,Engineering,2.9,57,Male,67257.96,1,Yes,3,27.1
EMP0268,Engineering,13.5,33,Female,72873.54,4,No,6,9.0
EMP0269,Sales,5.5,54,Female,110711.55,4,No,0,3.4
EMP0270,Engineering,12.3,40,Female,110341.17,4,No,0,16.0
EMP0271,Operations,7.6,42,Female,58081.59,5,No,4,8.4
EMP0272,Engineering,10.3,47,Female,77071.19,2,Yes,5,20.6
EMP0273,Marketing,2.9,27,Male,75453.19,4,No,3,16.4
EMP0274,Engineering,6.9,33,Female,109756.73,5,No,5,9.9
EMP0275,Engineering,10.7,56,Female,88228.97,3,No,1,2.0
EMP0276,Engineering,9.8,32,Female,114230.64,3,No,6,7.0
EMP0277,Engineering,0.6,49,Male,85165.19,5,No,1,2.1
EMP0278,Engineering,3.3,35,Female,103017.7,3,No,3,1.4
EMP0279,Engineering,12.1,54,Female,84328.71,3,Yes,2,38.0
EMP0280,Engineering,5.8,56,Male,84310.05,4,No,5,7.6
EMP0281,Operations,7.2,47,Female,52919.98,2,Yes,6,28.4
EMP0282,Engineering,12.6,40,Male,98113.04,3,No,3,12.4
EMP0283,Engineering,10.6,30,Female,103271.27,4,No,0,1.9
EMP0284,Sales,4.5,25,Female,115998.84,3,Yes,5,34.9
EMP0285,Operations,5.0,37,Male,45755.34,5,No,5,19.8
EMP0286,Marketing,14.9,41,Male,71246.84,3,No,2,10.4
EMP0287,Sales,11.1,38,Female,90657.93,5,No,7,0.7
EMP0288,HR,5.2,41,Male,53193.66,1,Yes,4,23.4
EMP0289,Sales,10.2,24,Female,97801.25,1,Yes,3,24.7
EMP0290,HR,7.6,39,Male,92186.18,3,No,4,1.4
EMP0291,Sales,0.8,50,Male,112222.87,1,Yes,0,25.5
EMP0292,Sales,7.2,29,Male,49651.34,3,No,3,10.7
EMP0293,Engineering,5.1,30,Female,68250.9,4,No,4,11.4
EMP0294,Engineering,13.2,40,Male,91982.05,5,No,4,0.6
EMP0295,Operations,2.6,33,Male,89959.26,3,No,3,14.6
EMP0296,Engineering,0.1,41,Female,100317.95,3,No,0,16.6
EMP0297,Engineering,5.8,49,Female,96294.98,5,No,3,7.4
EMP0298,Operations,11.3,23,Male,44883.34,4,No,2,12.9
EMP0299,Sales,7.6,49,Male,82076.21,3,Yes,3,22.3
EMP0300,Sales,12.5,33,Male,104198.24,3,No,2,16.4
EMP0301,Sales,8.7,52,Male,133732.78,1,Yes,6,22.5
EMP0302,Operations,12.8,51,Female,67471.16,3,No,3,1.6
EMP0303,Marketing,12.4,44,Female,60284.68,5,No,2,18.3
EMP0304,Sales,10.6,28,Female,126086.8,3,No,4,7.5
EMP0305,Operations,5.3,49,Male,45062.62,2,Yes,2,20.5
EMP0306,Engineering,1.6,22,Male,96546.38,4,No,2,10.6
EMP0307,Engineering,14.6,32,Male,109895.13,5,No,3,19.5
EMP0308,Engineering,4.8,56,Male,63490.54,4,No,5,9.8
EMP0309,Sales,12.4,38,Male,70980.53,5,No,7,5.8
EMP0310,Engineering,8.4,44,Male,72091.12,5,No,2,15.2
EMP0311,Engineering,4.0,42,Female,92144.15,4,No,2,1.2
EMP0312,Sales,2.2,57,Male,119228.43,5,No,2,12.5
EMP0313,HR,13.2,40,Male,42629.14,4,No,6,11.4
EMP0314,Engineering,8.2,55,Male,89547.84,3,No,5,19.3
EMP0315,Sales,13.1,38,Female,88645.88,1,Yes,3,35.8
EMP0316,Sales,1.5,57,Female,100375.61,5,No,1,9.8
EMP0317,Engineering,11.5,38,Male,99805.68,3,No,4,10.2
EMP0318,HR,11.5,30,Female,87909.34,5,No,3,19.1
EMP0319,Engineering,9.6,24,Male,84946.53,5,No,4,4.8
EMP0320,Sales,0.4,24,Female,113118.02,3,Yes,0,33.8
EMP0321,Engineering,4.6,51,Male,92921.04,5,No,5,16.1
EMP0322,Engineering,0.3,36,Male,81965.8,3,No,0,16.7
EMP0323,Marketing,11.6,23,Male,82849.26,5,No,7,15.3
EMP0324,Engineering,10.3,35,Female,75602.58,3,Yes,4,26.1
EMP0325,Operations,1.2,38,Male,84625.77,4,No,1,10.5
EMP0326,Marketing,1.2,24,Female,67311.84,4,No,1,5.9
EMP0327,Operations,6.1,22,Male,71237.69,3,No,0,6.4
EMP0328,Engineering,2.9,31,Female,112218.58,4,No,3,17.3
EMP0329,Sales,9.6,45,Male,90428.45,4,No,5,9.3
EMP0330,Sales,2.5,32,Male,86090.62,5,No,2,16.5
EMP0331,Sales,1.6,53,Female,131141.97,2,Yes,2,35.7
EMP0332,Operations,5.2,22,Male,55493.98,5,No,2,1.7
EMP0333,Sales,13.0,34,Male,148755.39,5,No,0,18.1
EMP0334,Engineering,1.8,46,Female,92772.2,3,Yes,2,31.3
EMP0335,Engineering,2.6,45,Female,96906.3,3,No,2,13.3
EMP0336,HR,1.7,38,Male,54169.19,4,No,2,12.9
EMP0337,HR,7.6,35,Male,85877.27,4,No,3,9.2
EMP0338,Engineering,8.3,30,Female,85704.12,3,No,2,14.4
EMP0339,Marketing,9.8,55,Male,74911.3,3,No,7,15.1
EMP0340,Operations,14.6,22,Female,75582.53,2,Yes,4,33.6
EMP0341,Engineering,5.6,31,Female,81187.53,2,Yes,4,22.2
EMP0342,Engineering,7.4,45,Male,86571.0,4,No,2,10.6
EMP0343,Operations,0.7,49,Female,55084.76,3,Yes,1,35.2
EMP0344,Engineering,5.8,53,Female,78552.77,5,No,4,3.6
EMP0345,Engineering,11.1,57,Male,92036.31,5,No,6,12.8
EMP0346,Operations,12.5,43,Male,77797.97,3,No,3,5.8
EMP0347,Operations,10.7,36,Female,99154.05,3,No,6,12.1
EMP0348,Marketing,3.7,36,Female,72274.28,5,No,3,13.0
EMP0349,Marketing,3.2,47,Male,70381.4,3,No,1,12.4
EMP0350,Engineering,2.5,45,Female,103551.74,5,No,3,16.2
EMP0351,Sales,1.0,26,Female,101212.18,4,No,1,13.8
EMP0352,Engineering,4.6,42,Female,88488.93,4,No,4,7.1
EMP0353,Sales,13.9,34,Male,89122.56,4,No,5,10.9
EMP0354,Sales,13.5,34,Female,98847.84,5,No,2,2.7
EMP0355,Engineering,9.9,47,Female,106848.59,3,Yes,0,32.7
EMP0356,Engineering,2.7,25,Female,102348.43,4,No,2,0.3
EMP0357,Marketing,5.4,55,Male,68791.72,4,No,5,7.9
EMP0358,Engineering,3.8,41,Female,117065.22,5,No,1,13.3
EMP0359,Marketing,7.5,49,Female,67136.44,1,Yes,3,20.2
EMP0360,Engineering,4.9,43,Male,71243.88,5,No,2,14.6
EMP0361,Engineering,7.3,48,Female,99067.73,3,No,2,2.4
EMP0362,Sales,9.6,48,Female,41969.53,3,Yes,5,20.7
EMP0363,Sales,14.9,25,Male,140007.35,4,No,1,11.5
EMP0364,Operations,14.3,50,Female,57940.41,1,Yes,4,33.6
EMP0365,Marketing,8.5,40,Male,81191.32,5,No,3,6.5
EMP0366,Sales,12.4,50,Female,128405.14,3,No,0,10.9
EMP0367,Engineering,8.9,25,Female,81979.27,3,Yes,6,32.7
EMP0368,Operations,12.4,45,Female,56449.85,1,Yes,1,34.5
EMP0369,Operations,7.8,26,Male,68661.62,5,No,5,0.9
EMP0370,Sales,1.0,42,Male,148448.11,3,Yes,1,34.5
EMP0371,Engineering,0.1,57,Male,102866.62,4,No,0,19.3
EMP0372,Operations,4.9,57,Male,44112.9,4,No,5,16.3
EMP0373,Marketing,6.0,52,Female,59836.53,5,No,1,13.2
EMP0374,Engineering,4.1,25,Female,91998.86,3,No,3,9.6
EMP0375,Sales,2.0,46,Male,65015.6,5,No,2,15.6
EMP0376,HR,2.8,44,Female,51913.57,3,Yes,3,36.1
EMP0377,Operations,5.2,34,Female,67284.91,1,Yes,5,21.0
EMP0378,Marketing,6.6,36,Female,81060.6,4,No,7,6.2
EMP0379,Engineering,13.6,35,Female,107116.99,3,Yes,0,35.6
EMP0380,HR,10.6,40,Male,47231.89,3,No,0,10.9
EMP0381,Engineering,7.3,56,Male,84644.56,2,Yes,3,39.2
EMP0382,Engineering,10.2,29,Male,92807.46,4,No,5,6.3
EMP0383,Sales,8.6,37,Female,104598.53,4,No,3,18.1
EMP0384,Engineering,3.0,49,Female,89180.81,3,No,3,18.7
EMP0385,Engineering,11.8,43,Male,86401.52,5,No,2,8.7
EMP0386,Engineering,9.7,44,Male,98115.85,4,No,7,12.6
EMP0387,Marketing,1.6,29,Female,67697.74,2,Yes,2,25.5
EMP0388,Sales,11.1,33,Male,95391.99,5,No,2,8.5
EMP0389,Sales,7.8,43,Female,81515.34,4,No,2,12.6
EMP0390,Sales,10.5,51,Male,97667.4,4,No,1,1.8
EMP0391,Marketing,5.7,57,Male,59153.68,4,No,3,9.0
EMP0392,Engineering,3.3,57,Female,122329.99,4,No,3,0.1
EMP0393,Marketing,6.2,30,Female,55336.57,1,Yes,2,31.7
EMP0394,HR,2.9,31,Female,86865.3,3,No,2,19.5
EMP0395,Sales,1.5,36,Female,93318.46,5,No,1,18.3
